Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Liu Huixia,F,18,157,48,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Gold
Liu Jianjun,M,27,179,68,China-2,CHN,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,Bronze
Liu Jun,F,22,177,65,China,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Silver
Liu Limin,F,20,170,68,China,CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,Silver
Liu Liping,F,26,172,68,China,CHN,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Bronze
Liu Ming-Huang,M,19,179,75,Chinese Taipei,TPE,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,Silver
Liu Ou,F,21,168,50,China,CHN,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Liu Ou,F,25,168,50,China,CHN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Liu Ou,F,25,168,50,China,CHN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Liu Qing,F,19,190,81,China,CHN,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Bronze
Liu Qing,F,27,190,81,China,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Silver
Liu Shiwen,F,25,160,54,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Gold
Liu Shoubin,M,20,162,58,China,CHN,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Bantamweight,Bronze
Liu Shoubin,M,24,162,58,China,CHN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Bantamweight,Silver
Liu Wei,F,26,162,60,China-2,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,Silver
Liu Xia,F,25,178,78,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,Silver
Liu Xiang,M,21,188,74,China,CHN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
Liu Xiaobo,M,28,201,102,China,CHN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Bronze
Liu Xiaotong,F,26,188,70,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold
Liu Xuan,F,21,153,48,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Liu Xuan,F,21,153,48,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,Gold
Liu Xuqing,F,27,166,60,China,CHN,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Silver
Liu Yaju,F,24,172,68,China,CHN,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Silver
Liu Yanan,F,23,186,73,China,CHN,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Gold
Liu Yanan,F,27,186,73,China,CHN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Bronze
Liu Yang,M,21,162,61,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Liu Yin,F,28,165,60,China,CHN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Women's Curling,Bronze
Liu Ying,F,22,165,60,China,CHN,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Silver
Liu Yumei,F,23,175,70,China,CHN,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Bronze
Liu Yuxiang,F,24,159,57,China,CHN,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Lightweight,Bronze
Liu Zhongqing,M,24,175,72,China,CHN,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Aerials,Bronze
Liu Zige,F,19,181,70,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Butterfly,Gold
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,160,45,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,Gold
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,160,45,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,160,45,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,160,45,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,Silver
"Anastasiya Valeryevna ""Nastia"" Liukin",F,18,160,45,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,Silver
Volodymyr Ivanovych Liutiy,M,26,191,83,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Gold
Stefan Daniel Patryk Liv (li-),M,25,183,84,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Signe Livbjerg,F,24,165,56,Denmark,DEN,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's One Person Dinghy,Bronze
Brent James Livermore,M,24,177,74,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Brent James Livermore,M,28,177,74,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
John Cleve Livingston,M,25,188,82,United States,USA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Silver
"Michael Kent ""Mike"" Livingston",M,23,191,86,United States,USA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Silver
Nicole Dawn Livingstone-Stevenson (-Clayton),F,21,174,65,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Nicole Dawn Livingstone-Stevenson (-Clayton),F,25,174,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Nicole Dawn Livingstone-Stevenson (-Clayton),F,25,174,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Hac liyev,M,25,168,65,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
Matija Ljubek,M,22,180,85,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Matija Ljubek,M,22,180,85,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Matija Ljubek,M,30,180,85,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
Matija Ljubek,M,30,180,85,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Ivan Ljubii,M,25,193,84,Croatia,CRO,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze
Benni Ingemar Ljungbeck,M,22,159,57,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
Bo Urban Mikael Ljungberg,M,26,189,97,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Bo Urban Mikael Ljungberg,M,30,189,97,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Anita Carina Ljungdahl (-Algotsson),F,20,170,57,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
John Arthur Ljunggren,M,28,178,59,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,Gold
John Arthur Ljunggren,M,37,178,59,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 50 kilometres Walk,Bronze
John Arthur Ljunggren,M,40,178,59,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,Silver
Bengt Helge Ljungquist,M,35,185,90,Sweden,SWE,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",Bronze
Bengt Helge Ljungquist,M,39,185,90,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Silver
Roar Ljkelsy,M,29,177,56,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
Roar Ljkelsy,M,29,177,56,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
Vqar Mursal lkbrov,M,19,178,91,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Middleweight,Bronze
Joan Llaneras Rossell,M,31,180,65,Spain,ESP,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Points Race,Gold
Joan Llaneras Rossell,M,35,180,65,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Points Race,Silver
Joan Llaneras Rossell,M,39,180,65,Spain,ESP,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Points Race,Gold
Joan Llaneras Rossell,M,39,180,65,Spain,ESP,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Silver
Michal Llodra,M,32,190,80,France-1,FRA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Doubles,Silver
Jorge Llopart Ribas,M,28,167,63,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,Silver
Jos Luis Llorente Gento,M,25,188,84,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Silver
Andrea Lane Lloyd (-Curry),F,23,188,73,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
Andria Lloyd,F,24,170,66,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Carli Anne Lloyd (-Hollins),F,26,170,64,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Gold
Carli Anne Lloyd (-Hollins),F,30,170,64,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
Carli Ellen Lloyd,F,26,180,75,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
Graeme John Lloyd,M,37,200,108,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
"James ""Jim"" Lloyd",M,21,173,67,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Welterweight,Bronze
Shereefa Lloyd,F,25,172,68,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Shereefa Lloyd,F,29,172,68,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Sergio Llull Meli,M,24,192,91,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Silver
Sergio Llull Meli,M,28,192,91,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Lo Chen-Jung,M,30,177,78,Chinese Taipei,TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Silver
Lo Kuo-Chung,M,26,179,75,Chinese Taipei,TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Silver
"John Wilfrid ""Johnny"" Loaring",M,20,178,74,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres Hurdles,Silver
Marina Vikentyevna Lobach,F,18,162,41,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
Irina Viktorovna Lobacheva (-Averbukh),F,28,165,46,Russia-1,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Noel O. Loban,M,27,190,100,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Vladimir Vladimirovich Lobanov,M,26,180,79,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
Yury Terentyevich Lobanov,M,19,178,74,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Yury Terentyevich Lobanov,M,27,178,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Yekaterina Vladimirovna Lobaznyuk,F,17,141,40,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Silver
Yekaterina Vladimirovna Lobaznyuk,F,17,141,40,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Yekaterina Vladimirovna Lobaznyuk,F,17,141,40,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,Silver
Jonathan Gatan Cdric Lobert,M,27,195,100,France,FRA,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze
Nikita Konstantinovich Lobintsev,M,19,193,85,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Nikita Konstantinovich Lobintsev,M,23,193,85,Russia,RUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Rebecca Rose Lobo (-Rushin),F,22,193,64,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
Nina Romanivna Lobova (-Hetsko),F,18,179,73,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Gold
Yekaterina Aleksandrovna Lobysheva,F,20,178,69,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Yekaterina Aleksandrovna Lobysheva,F,28,178,69,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Ugo Locatelli,M,20,172,68,Italy,ITA,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
Felix Loch,M,20,190,90,Germany,GER,2010 Winter,2010,Winter,Vancouver,Luge,Luge Men's Singles,Gold
Felix Loch,M,24,190,90,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,Gold
Felix Loch,M,24,190,90,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Gold
Steve Locher,M,24,172,78,Switzerland,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
"Rudolf ""Rudi"" Lochner",M,38,184,88,Germany-1,GER,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Silver
Ryan Steven Lochte,M,20,188,88,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Ryan Steven Lochte,M,20,188,88,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,Silver
Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold
Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Backstroke,Bronze
Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,Silver
Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,Gold
Ryan Steven Lochte,M,32,188,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
William Lockwood,M,24,191,88,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
William Lockwood,M,28,191,88,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
Yves Loday,M,36,175,65,France,FRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Multihull,Gold
Matteo Lodo,M,21,196,90,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
Todd Lodwick,M,33,180,67,United States,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Silver
Sven Lodziewski,M,23,203,91,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Thomas Loebb,M,27,197,91,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Bronze
Leijn Loevesijn,M,19,176,75,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Horst Lffler,M,22,179,81,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Esther Ruth  Lofgren,F,27,188,79,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
Erik Mikael Lfgren,M,22,183,83,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 20 kilometres,Bronze
Erik Mikael Lfgren,M,22,183,83,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Sven William Lfqvist,M,32,180,75,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Glen Loftus,M,28,187,70,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Devin Logan,F,20,178,82,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Silver
"Eleanor ""Elle"" Logan",F,20,188,86,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
"Eleanor ""Elle"" Logan",F,24,188,86,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
"Eleanor ""Elle"" Logan",F,28,188,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
"James ""Jim"" Logan",M,22,178,77,Canada,CAN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Mihaela Loghin,F,32,170,78,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Shot Put,Silver
Lidiya Ivanovna Loginova,F,29,170,69,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Gold
Viktor Alekseyevich Logunov,M,20,176,75,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Tatyana Yuryevna Logunova,F,20,174,62,Russia,RUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Team",Gold
Tatyana Yuryevna Logunova,F,24,174,62,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Gold
Tatyana Yuryevna Logunova,F,36,174,62,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Bronze
Oleg Nikolayevich Logvin,M,21,183,78,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
"Gabriele ""Gabi"" Lohs-Khn",F,19,184,86,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Gold
"Gabriele ""Gabi"" Lohs-Khn",F,23,184,86,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Gold
Bobby Roy Lohse,M,38,198,125,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Silver
Jozef Lohya,M,25,180,90,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
Wolfgang Loitzl,M,30,180,62,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
Konstantin Borisovich Loktev,M,26,170,75,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Konstantin Borisovich Loktev,M,30,170,75,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Sven Loll,M,24,182,71,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Silver
Vasyl Anatoliyovich Lomachenko,M,20,170,60,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,Gold
Vasyl Anatoliyovich Lomachenko,M,24,170,60,Ukraine,UKR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Lightweight,Gold
Andrey Vyacheslavovich Lomakin,M,23,178,80,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Trofim Fyodorovich Lomakin,M,27,167,85.5,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Trofim Fyodorovich Lomakin,M,36,167,85.5,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
"Abraham Robertus ""Bram"" Lomans",M,21,200,96,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Gold
"Abraham Robertus ""Bram"" Lomans",M,25,200,96,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Gold
"Marie Isabelle Franoise ""Marisabelle"" Lomba",F,21,165,57,Belgium,BEL,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,Bronze
Giovanni Lombardi,M,23,178,75,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,Gold
Charles Georg Lomberg,M,25,182,75,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,Silver
Shota Lomidze,M,32,180,101,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Oiva Lommi,M,30,183,90,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,Bronze
Veikko Kristian Lommi,M,34,178,78,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,Bronze
Luka Lonar,M,29,195,106,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
Nikola Lonar,M,24,200,98,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver
"John Edward ""Jack"" London",M,23,183,75,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Silver
"John Edward ""Jack"" London",M,23,183,75,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
"Dallas Crutcher Long, III",M,20,193,118,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,Bronze
"Dallas Crutcher Long, III",M,24,193,118,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Shot Put,Gold
"Carl-Ludwig Hermann ""Luz"" Long",M,23,184,72,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Long Jump,Silver
Matthew Long,M,25,194,89,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,Bronze
"Maxwell Warburn ""Maxey"" Long",M,21,182,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Gold
Long Qingquan,M,17,150,56,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Bantamweight,Gold
Long Qingquan,M,25,150,56,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,Gold
Elisa Longo Borghini,F,24,170,59,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",Bronze
Jeannie Longo-Ciprelli,F,33,164,48,France,FRA,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Women's Road Race, Individual",Silver
Jeannie Longo-Ciprelli,F,37,164,48,France,FRA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Women's Road Race, Individual",Gold
Jeannie Longo-Ciprelli,F,37,164,48,France,FRA,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Women's Individual Time Trial,Silver
Jeannie Longo-Ciprelli,F,41,164,48,France,FRA,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Women's Individual Time Trial,Bronze
Thomas Pkemei Longosiwa,M,30,175,57,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",Bronze
Paavo Olavi Lonkila (Lng-),M,29,157,53.5,Finland,FIN,1952 Winter,1952,Winter,Oslo,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Bronze
