Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28,188,77,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Julien Absalon,M,23,180,68,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Julien Absalon,M,27,180,68,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Ahmad Abughaush,M,20,178,68,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ginko Abukawa-Chiba,F,26,148,46,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Andreea Roxana Acatrinei,F,16,150,40,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,M,24,194,104,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
Paul Accola,M,20,176,82,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Anibl Santiago Acevedo,M,21,176,67,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
Daniel Aceves Villagrn,M,19,158,52,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Joachim Yaw Acheampong,M,18,181,73,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Alfred Achermann,M,24,176,75,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Abdel Hak Achik,M,29,165,54,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
Mohamed Abdelhak Achik,M,27,174,57,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
Rita Nikolayevna Achkina,F,30,168,63,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Chantal Achterberg,F,27,172,72,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,F,31,172,72,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
Paul Douglas Ackerley,M,27,179,68,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
Ronny Ackermann,M,24,184,69,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
Ronny Ackermann,M,24,184,69,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
Ronny Ackermann,M,28,184,69,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
Donat Acklin,M,26,190,99,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,26,190,99,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
Donat Acklin,M,28,190,99,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,28,190,99,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
Guido Acklin,M,24,200,104,Switzerland-2,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
Lautaro Germn Acosta,M,20,168,72,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
Osmay Acosta Duarte,M,23,188,91,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
Kazimierz Piotr Adach,M,23,162,60,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
Ji Adam,M,25,187,83,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
"Michael B. ""Mike"" Adam",M,24,175,95,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
Dariusz Adamczuk,M,22,179,78,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
Adrian Neil Adams,M,21,178,78,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,M,25,178,78,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
